date,title,channel,section,counted_because,ai_mentions,url
2026-06-10,Did a Chatbot Write a Prize-Winning Story? Does It Matter?,online,books,tag,,https://www.newyorker.com/books/page-turner/did-a-chatbot-write-a-prize-winning-story-does-it-matter
2026-06-15,Jürgen Habermas Defended Reason in a Darkening Age,print,magazine,text (8 mentions),8,https://www.newyorker.com/magazine/2026/06/22/jurgen-habermas-desperate-fight-for-democracy
2026-06-15,"“Yuppies,” “Mutiny,” and “How to Start,” Reviewed",print,magazine,text (6 mentions),6,https://www.newyorker.com/magazine/2026/06/22/mutiny-noam-scheiber-book-review-yuppies-dylan-gottlieb
2026-06-24,The A.I.-Design Aesthetic That’s Taking Over the Internet,online,culture,tag,,https://www.newyorker.com/culture/infinite-scroll/the-ai-design-aesthetic-thats-taking-over-the-internet
2026-06-25,"Refik Anadol, the Art World’s Happy Warrior for A.I.",online,culture,tag,,https://www.newyorker.com/culture/persons-of-interest/refik-anadol-the-art-worlds-happy-warrior-for-ai
2026-06-29,Are Humanoid Robots Ready to Be Deployed?,print,magazine,text (23 mentions),23,https://www.newyorker.com/magazine/2026/07/06/are-humanoid-robots-ready-to-be-deployed
2026-07-13,When A.I. Is a Member of the Family,print,magazine,headline,18,https://www.newyorker.com/magazine/2026/07/20/when-ai-is-a-member-of-the-family
2026-07-22,Welcome to the Age of Broke TV,online,culture,tag,,https://www.newyorker.com/culture/on-television/welcome-to-the-age-of-broke-tv
2026-07-30,The Accidental Architect of the Internet’s Brain,online,culture,tag,,https://www.newyorker.com/culture/the-lede/the-accidental-architect-of-the-internets-brain
2026-07-30,Inside OpenAI’s Hack of Hugging Face,online,news,tag,,https://www.newyorker.com/news/the-lede/inside-openai-hack-of-hugging-face
2026-08-01,What If We Can Never Trust A.I.?,online,culture,tag,,https://www.newyorker.com/culture/open-questions/what-if-we-can-never-trust-ai
2026-08-03,"The Future, Made in China",print,magazine,text (37 mentions),37,https://www.newyorker.com/magazine/2026/08/10/the-future-made-in-china
2026-08-09,A.I. Is Now a Major Election Issue,print,magazine,headline,14,https://www.newyorker.com/magazine/2026/08/17/ai-is-now-a-major-election-issue
2026-08-10,What Does the Humbling of Leopold Aschenbrenner Mean for the A.I. Bubble?,online,news,tag,,https://www.newyorker.com/news/the-financial-page/what-does-the-humbling-of-leopold-aschenbrenner-mean-for-the-ai-bubble
2026-08-10,Are You a Human?,print,magazine,text (14 mentions),14,https://www.newyorker.com/magazine/2026/08/17/are-you-a-human
2026-08-11,"If A.I. Takes the Jobs of Young People, How Will They React?",online,news,tag,,https://www.newyorker.com/news/fault-lines/if-ai-takes-the-jobs-of-young-people-how-will-they-react
2026-08-14,Bernie Sanders Takes on Data Centers,online,culture,tag,,https://www.newyorker.com/culture/the-new-yorker-interview/bernie-sanders-takes-on-data-centers
2026-08-14,Gina Raimondo on Reclaiming the American Dream in the Age of A.I.,online,podcast,tag,,https://www.newyorker.com/podcast/political-scene/gina-raimondo-on-reclaiming-the-american-dream-in-the-age-of-ai
2026-08-14,Erin Brockovich Takes on Data Centers,online,podcast,tag,,https://www.newyorker.com/podcast/the-new-yorker-radio-hour/erin-brockovich-takes-on-data-centers
2026-08-19,The Mark of the Machine,online,culture,tag,,https://www.newyorker.com/culture/infinite-scroll/the-mark-of-the-machine
2026-08-21,General David Petraeus on the New Rules of War,online,podcast,tag,,https://www.newyorker.com/podcast/political-scene/general-david-petraeus-on-the-new-rules-of-war
2026-08-28,Could Data Centers Swing an Election in Wisconsin?,online,news,tag,,https://www.newyorker.com/news/the-lede/could-data-centers-swing-an-election-in-wisconsin
2026-08-31,Who’s Afraid of A.I. Music?,print,magazine,headline,36,https://www.newyorker.com/magazine/2026/09/07/whos-afraid-of-ai-music
2026-09-02,The Unique Horrors of A.I. Food Slop,online,culture,tag,,https://www.newyorker.com/culture/infinite-scroll/the-unique-horrors-of-ai-food-slop
2026-09-04,Why Is Donald Trump Picking a Fight with Canada?,online,podcast,tag,,https://www.newyorker.com/podcast/political-scene/why-is-donald-trump-picking-a-fight-with-canada
2026-09-05,The Anti-A.I.-Ad Ad Campaign,print,magazine,headline,5,https://www.newyorker.com/magazine/2026/09/14/the-anti-ai-ad-ad-campaign
2026-09-07,Has the A.I. Job Apocalypse Been Postponed?,online,news,tag,,https://www.newyorker.com/news/the-financial-page/has-the-ai-job-apocalypse-been-postponed
2026-09-08,Destroying Books to Build a Mind,online,culture,tag,,https://www.newyorker.com/culture/the-lede/destroying-books-to-build-a-mind
